code_module,code_presentation,cohort_size,week_number,active_students,retention_pct,cohort_label
AAA,2014J,352,17,230,65.3,AAA · 2014J
AAA,2014J,352,18,239,67.9,AAA · 2014J
AAA,2014J,352,19,220,62.5,AAA · 2014J
AAA,2014J,352,20,221,62.8,AAA · 2014J
AAA,2014J,352,21,218,61.9,AAA · 2014J
AAA,2014J,352,22,232,65.9,AAA · 2014J
AAA,2014J,352,23,272,77.3,AAA · 2014J
AAA,2014J,352,24,233,66.2,AAA · 2014J
AAA,2014J,352,25,216,61.4,AAA · 2014J
AAA,2014J,352,26,211,59.9,AAA · 2014J
AAA,2014J,352,27,199,56.5,AAA · 2014J
AAA,2014J,352,28,207,58.8,AAA · 2014J
AAA,2014J,352,29,237,67.3,AAA · 2014J
AAA,2014J,352,30,268,76.1,AAA · 2014J
BBB,2013B,1645,0,1243,75.6,BBB · 2013B
BBB,2013B,1645,1,1193,72.5,BBB · 2013B
BBB,2013B,1645,2,1326,80.6,BBB · 2013B
BBB,2013B,1645,3,1154,70.2,BBB · 2013B
BBB,2013B,1645,4,1128,68.6,BBB · 2013B
BBB,2013B,1645,5,1052,64.0,BBB · 2013B
BBB,2013B,1645,6,1170,71.1,BBB · 2013B
BBB,2013B,1645,7,1063,64.6,BBB · 2013B
BBB,2013B,1645,8,906,55.1,BBB · 2013B
BBB,2013B,1645,9,898,54.6,BBB · 2013B
BBB,2013B,1645,10,851,51.7,BBB · 2013B
BBB,2013B,1645,11,895,54.4,BBB · 2013B
BBB,2013B,1645,12,1058,64.3,BBB · 2013B
BBB,2013B,1645,13,804,48.9,BBB · 2013B
BBB,2013B,1645,14,803,48.8,BBB · 2013B
BBB,2013B,1645,15,718,43.6,BBB · 2013B
BBB,2013B,1645,16,712,43.3,BBB · 2013B
BBB,2013B,1645,17,933,56.7,BBB · 2013B
BBB,2013B,1645,18,761,46.3,BBB · 2013B
BBB,2013B,1645,19,686,41.7,BBB · 2013B
BBB,2013B,1645,20,641,39.0,BBB · 2013B
BBB,2013B,1645,21,645,39.2,BBB · 2013B
BBB,2013B,1645,22,908,55.2,BBB · 2013B
BBB,2013B,1645,23,657,39.9,BBB · 2013B
BBB,2013B,1645,24,630,38.3,BBB · 2013B
BBB,2013B,1645,25,639,38.8,BBB · 2013B
BBB,2013B,1645,26,807,49.1,BBB · 2013B
BBB,2013B,1645,27,580,35.3,BBB · 2013B
BBB,2013B,1645,28,553,33.6,BBB · 2013B
BBB,2013B,1645,29,482,29.3,BBB · 2013B
BBB,2013B,1645,30,540,32.8,BBB · 2013B
BBB,2013J,2003,0,1372,68.5,BBB · 2013J
BBB,2013J,2003,1,1324,66.1,BBB · 2013J
BBB,2013J,2003,2,1491,74.4,BBB · 2013J
BBB,2013J,2003,3,1259,62.9,BBB · 2013J
BBB,2013J,2003,4,1289,64.4,BBB · 2013J
BBB,2013J,2003,5,1176,58.7,BBB · 2013J
BBB,2013J,2003,6,1377,68.7,BBB · 2013J
BBB,2013J,2003,7,1289,64.4,BBB · 2013J
BBB,2013J,2003,8,1050,52.4,BBB · 2013J
BBB,2013J,2003,9,876,43.7,BBB · 2013J
BBB,2013J,2003,10,748,37.3,BBB · 2013J
BBB,2013J,2003,11,550,27.5,BBB · 2013J
BBB,2013J,2003,12,924,46.1,BBB · 2013J
BBB,2013J,2003,13,1283,64.1,BBB · 2013J
BBB,2013J,2003,14,1019,50.9,BBB · 2013J
BBB,2013J,2003,15,956,47.7,BBB · 2013J
BBB,2013J,2003,16,822,41.0,BBB · 2013J
BBB,2013J,2003,17,943,47.1,BBB · 2013J
BBB,2013J,2003,18,1187,59.3,BBB · 2013J
BBB,2013J,2003,19,851,42.5,BBB · 2013J
BBB,2013J,2003,20,809,40.4,BBB · 2013J
BBB,2013J,2003,21,829,41.4,BBB · 2013J
BBB,2013J,2003,22,876,43.7,BBB · 2013J
BBB,2013J,2003,23,1169,58.4,BBB · 2013J
BBB,2013J,2003,24,780,38.9,BBB · 2013J
BBB,2013J,2003,25,765,38.2,BBB · 2013J
BBB,2013J,2003,26,697,34.8,BBB · 2013J
BBB,2013J,2003,27,642,32.1,BBB · 2013J
BBB,2013J,2003,28,762,38.0,BBB · 2013J
BBB,2013J,2003,29,1102,55.0,BBB · 2013J
BBB,2013J,2003,30,731,36.5,BBB · 2013J
BBB,2014B,1351,0,965,71.4,BBB · 2014B
BBB,2014B,1351,1,1030,76.2,BBB · 2014B
BBB,2014B,1351,2,919,68.0,BBB · 2014B
BBB,2014B,1351,3,857,63.4,BBB · 2014B
BBB,2014B,1351,4,806,59.7,BBB · 2014B
BBB,2014B,1351,5,961,71.1,BBB · 2014B
BBB,2014B,1351,6,892,66.0,BBB · 2014B
BBB,2014B,1351,7,759,56.2,BBB · 2014B
BBB,2014B,1351,8,661,48.9,BBB · 2014B
BBB,2014B,1351,9,601,44.5,BBB · 2014B
BBB,2014B,1351,10,692,51.2,BBB · 2014B
BBB,2014B,1351,11,914,67.7,BBB · 2014B
BBB,2014B,1351,12,685,50.7,BBB · 2014B
BBB,2014B,1351,13,645,47.7,BBB · 2014B
BBB,2014B,1351,14,558,41.3,BBB · 2014B
BBB,2014B,1351,15,615,45.5,BBB · 2014B
BBB,2014B,1351,16,814,60.3,BBB · 2014B
BBB,2014B,1351,17,572,42.3,BBB · 2014B
BBB,2014B,1351,18,548,40.6,BBB · 2014B
BBB,2014B,1351,19,488,36.1,BBB · 2014B
BBB,2014B,1351,20,549,40.6,BBB · 2014B
BBB,2014B,1351,21,792,58.6,BBB · 2014B
BBB,2014B,1351,22,545,40.3,BBB · 2014B
BBB,2014B,1351,23,500,37.0,BBB · 2014B
BBB,2014B,1351,24,427,31.6,BBB · 2014B
BBB,2014B,1351,25,428,31.7,BBB · 2014B
BBB,2014B,1351,26,513,38.0,BBB · 2014B
BBB,2014B,1351,27,743,55.0,BBB · 2014B
BBB,2014B,1351,28,510,37.7,BBB · 2014B
BBB,2014B,1351,29,498,36.9,BBB · 2014B
BBB,2014B,1351,30,476,35.2,BBB · 2014B
BBB,2014J,2053,0,1476,71.9,BBB · 2014J
BBB,2014J,2053,1,1392,67.8,BBB · 2014J
BBB,2014J,2053,2,1534,74.7,BBB · 2014J
BBB,2014J,2053,3,1329,64.7,BBB · 2014J
BBB,2014J,2053,4,1264,61.6,BBB · 2014J
BBB,2014J,2053,5,1188,57.9,BBB · 2014J
BBB,2014J,2053,6,1170,57.0,BBB · 2014J
BBB,2014J,2053,7,1323,64.4,BBB · 2014J
BBB,2014J,2053,8,1021,49.7,BBB · 2014J
BBB,2014J,2053,9,898,43.7,BBB · 2014J
BBB,2014J,2053,10,413,20.1,BBB · 2014J
BBB,2014J,2053,11,656,32.0,BBB · 2014J
BBB,2014J,2053,12,1098,53.5,BBB · 2014J
BBB,2014J,2053,13,1035,50.4,BBB · 2014J
BBB,2014J,2053,14,1066,51.9,BBB · 2014J
BBB,2014J,2053,15,1266,61.7,BBB · 2014J
BBB,2014J,2053,16,980,47.7,BBB · 2014J
BBB,2014J,2053,17,973,47.4,BBB · 2014J
BBB,2014J,2053,18,926,45.1,BBB · 2014J
BBB,2014J,2053,19,934,45.5,BBB · 2014J
BBB,2014J,2053,20,1017,49.5,BBB · 2014J
BBB,2014J,2053,21,1174,57.2,BBB · 2014J
BBB,2014J,2053,22,876,42.7,BBB · 2014J
BBB,2014J,2053,23,855,41.6,BBB · 2014J
BBB,2014J,2053,24,720,35.1,BBB · 2014J
BBB,2014J,2053,25,676,32.9,BBB · 2014J
BBB,2014J,2053,26,800,39.0,BBB · 2014J
BBB,2014J,2053,27,887,43.2,BBB · 2014J
BBB,2014J,2053,28,1076,52.4,BBB · 2014J
BBB,2014J,2053,29,714,34.8,BBB · 2014J
BBB,2014J,2053,30,698,34.0,BBB · 2014J
CCC,2014B,1686,0,1387,82.3,CCC · 2014B
CCC,2014B,1686,1,1358,80.5,CCC · 2014B
CCC,2014B,1686,2,1464,86.8,CCC · 2014B
CCC,2014B,1686,3,1202,71.3,CCC · 2014B
CCC,2014B,1686,4,1283,76.1,CCC · 2014B
CCC,2014B,1686,5,1067,63.3,CCC · 2014B
CCC,2014B,1686,6,953,56.5,CCC · 2014B
CCC,2014B,1686,7,919,54.5,CCC · 2014B
CCC,2014B,1686,8,918,54.4,CCC · 2014B
CCC,2014B,1686,9,1066,63.2,CCC · 2014B
CCC,2014B,1686,10,739,43.8,CCC · 2014B
CCC,2014B,1686,11,726,43.1,CCC · 2014B
CCC,2014B,1686,12,769,45.6,CCC · 2014B
CCC,2014B,1686,13,814,48.3,CCC · 2014B
CCC,2014B,1686,14,949,56.3,CCC · 2014B
CCC,2014B,1686,15,767,45.5,CCC · 2014B
CCC,2014B,1686,16,717,42.5,CCC · 2014B
CCC,2014B,1686,17,702,41.6,CCC · 2014B
CCC,2014B,1686,18,743,44.1,CCC · 2014B
CCC,2014B,1686,19,879,52.1,CCC · 2014B
CCC,2014B,1686,20,706,41.9,CCC · 2014B
CCC,2014B,1686,21,769,45.6,CCC · 2014B
CCC,2014B,1686,22,659,39.1,CCC · 2014B
CCC,2014B,1686,23,583,34.6,CCC · 2014B
CCC,2014B,1686,24,549,32.6,CCC · 2014B
CCC,2014B,1686,25,533,31.6,CCC · 2014B
CCC,2014B,1686,26,543,32.2,CCC · 2014B
CCC,2014B,1686,27,623,37.0,CCC · 2014B
CCC,2014B,1686,28,716,42.5,CCC · 2014B
CCC,2014B,1686,29,721,42.8,CCC · 2014B
CCC,2014B,1686,30,564,33.5,CCC · 2014B
CCC,2014J,2285,0,1801,78.8,CCC · 2014J
CCC,2014J,2285,1,1806,79.0,CCC · 2014J
CCC,2014J,2285,2,1983,86.8,CCC · 2014J
CCC,2014J,2285,3,1673,73.2,CCC · 2014J
CCC,2014J,2285,4,1829,80.0,CCC · 2014J
CCC,2014J,2285,5,1484,64.9,CCC · 2014J
CCC,2014J,2285,6,1292,56.5,CCC · 2014J
CCC,2014J,2285,7,1267,55.4,CCC · 2014J
CCC,2014J,2285,8,1332,58.3,CCC · 2014J
CCC,2014J,2285,9,1575,68.9,CCC · 2014J
CCC,2014J,2285,10,965,42.2,CCC · 2014J
CCC,2014J,2285,11,644,28.2,CCC · 2014J
CCC,2014J,2285,12,848,37.1,CCC · 2014J
CCC,2014J,2285,13,1191,52.1,CCC · 2014J
CCC,2014J,2285,14,1226,53.7,CCC · 2014J
CCC,2014J,2285,15,1375,60.2,CCC · 2014J
CCC,2014J,2285,16,1116,48.8,CCC · 2014J
CCC,2014J,2285,17,1060,46.4,CCC · 2014J
CCC,2014J,2285,18,1011,44.2,CCC · 2014J
CCC,2014J,2285,19,1110,48.6,CCC · 2014J
CCC,2014J,2285,20,1331,58.2,CCC · 2014J
CCC,2014J,2285,21,1141,49.9,CCC · 2014J
CCC,2014J,2285,22,1208,52.9,CCC · 2014J
CCC,2014J,2285,23,1040,45.5,CCC · 2014J
CCC,2014J,2285,24,937,41.0,CCC · 2014J
CCC,2014J,2285,25,858,37.5,CCC · 2014J
CCC,2014J,2285,26,777,34.0,CCC · 2014J
CCC,2014J,2285,27,835,36.5,CCC · 2014J
CCC,2014J,2285,28,991,43.4,CCC · 2014J
CCC,2014J,2285,29,1120,49.0,CCC · 2014J
CCC,2014J,2285,30,1116,48.8,CCC · 2014J
DDD,2013B,1226,0,1039,84.7,DDD · 2013B
DDD,2013B,1226,1,987,80.5,DDD · 2013B
DDD,2013B,1226,2,1018,83.0,DDD · 2013B
DDD,2013B,1226,3,1073,87.5,DDD · 2013B
DDD,2013B,1226,4,932,76.0,DDD · 2013B
DDD,2013B,1226,5,911,74.3,DDD · 2013B
DDD,2013B,1226,6,904,73.7,DDD · 2013B
DDD,2013B,1226,7,959,78.2,DDD · 2013B
DDD,2013B,1226,8,798,65.1,DDD · 2013B
DDD,2013B,1226,9,804,65.6,DDD · 2013B
DDD,2013B,1226,10,828,67.5,DDD · 2013B
DDD,2013B,1226,11,880,71.8,DDD · 2013B
DDD,2013B,1226,12,761,62.1,DDD · 2013B
DDD,2013B,1226,13,711,58.0,DDD · 2013B
DDD,2013B,1226,14,716,58.4,DDD · 2013B
DDD,2013B,1226,15,754,61.5,DDD · 2013B
DDD,2013B,1226,16,793,64.7,DDD · 2013B
DDD,2013B,1226,17,699,57.0,DDD · 2013B
DDD,2013B,1226,18,674,55.0,DDD · 2013B
DDD,2013B,1226,19,666,54.3,DDD · 2013B
DDD,2013B,1226,20,670,54.6,DDD · 2013B
DDD,2013B,1226,21,714,58.2,DDD · 2013B
DDD,2013B,1226,22,577,47.1,DDD · 2013B
DDD,2013B,1226,23,606,49.4,DDD · 2013B
DDD,2013B,1226,24,633,51.6,DDD · 2013B
DDD,2013B,1226,25,493,40.2,DDD · 2013B
DDD,2013B,1226,26,464,37.8,DDD · 2013B
DDD,2013B,1226,27,533,43.5,DDD · 2013B
DDD,2013B,1226,28,605,49.3,DDD · 2013B
DDD,2013B,1226,29,586,47.8,DDD · 2013B
DDD,2013B,1226,30,523,42.7,DDD · 2013B
DDD,2013J,1748,0,1453,83.1,DDD · 2013J
DDD,2013J,1748,1,1459,83.5,DDD · 2013J
DDD,2013J,1748,2,1376,78.7,DDD · 2013J
DDD,2013J,1748,3,1510,86.4,DDD · 2013J
DDD,2013J,1748,4,1356,77.6,DDD · 2013J
DDD,2013J,1748,5,1290,73.8,DDD · 2013J
DDD,2013J,1748,6,1220,69.8,DDD · 2013J
DDD,2013J,1748,7,1329,76.0,DDD · 2013J
DDD,2013J,1748,8,1103,63.1,DDD · 2013J
DDD,2013J,1748,9,1004,57.4,DDD · 2013J
DDD,2013J,1748,10,729,41.7,DDD · 2013J
DDD,2013J,1748,11,1024,58.6,DDD · 2013J
DDD,2013J,1748,12,1240,70.9,DDD · 2013J
DDD,2013J,1748,13,1077,61.6,DDD · 2013J
DDD,2013J,1748,14,1016,58.1,DDD · 2013J
DDD,2013J,1748,15,993,56.8,DDD · 2013J
DDD,2013J,1748,16,1042,59.6,DDD · 2013J
DDD,2013J,1748,17,1136,65.0,DDD · 2013J
DDD,2013J,1748,18,1025,58.6,DDD · 2013J
DDD,2013J,1748,19,1023,58.5,DDD · 2013J
DDD,2013J,1748,20,987,56.5,DDD · 2013J
DDD,2013J,1748,21,940,53.8,DDD · 2013J
DDD,2013J,1748,22,952,54.5,DDD · 2013J
DDD,2013J,1748,23,1034,59.2,DDD · 2013J
DDD,2013J,1748,24,880,50.3,DDD · 2013J
DDD,2013J,1748,25,823,47.1,DDD · 2013J
DDD,2013J,1748,26,731,41.8,DDD · 2013J
DDD,2013J,1748,27,766,43.8,DDD · 2013J
DDD,2013J,1748,28,833,47.7,DDD · 2013J
DDD,2013J,1748,29,937,53.6,DDD · 2013J
DDD,2013J,1748,30,807,46.2,DDD · 2013J
DDD,2014B,1127,0,922,81.8,DDD · 2014B
DDD,2014B,1127,1,917,81.4,DDD · 2014B
DDD,2014B,1127,2,903,80.1,DDD · 2014B
DDD,2014B,1127,3,944,83.8,DDD · 2014B
DDD,2014B,1127,4,840,74.5,DDD · 2014B
DDD,2014B,1127,5,760,67.4,DDD · 2014B
DDD,2014B,1127,6,754,66.9,DDD · 2014B
DDD,2014B,1127,7,834,74.0,DDD · 2014B
DDD,2014B,1127,8,712,63.2,DDD · 2014B
DDD,2014B,1127,9,697,61.8,DDD · 2014B
DDD,2014B,1127,10,735,65.2,DDD · 2014B
DDD,2014B,1127,11,610,54.1,DDD · 2014B
DDD,2014B,1127,12,602,53.4,DDD · 2014B
DDD,2014B,1127,13,542,48.1,DDD · 2014B
DDD,2014B,1127,14,554,49.2,DDD · 2014B
DDD,2014B,1127,15,591,52.4,DDD · 2014B
DDD,2014B,1127,16,655,58.1,DDD · 2014B
DDD,2014B,1127,17,571,50.7,DDD · 2014B
DDD,2014B,1127,18,553,49.1,DDD · 2014B
DDD,2014B,1127,19,534,47.4,DDD · 2014B
DDD,2014B,1127,20,522,46.3,DDD · 2014B
DDD,2014B,1127,21,513,45.5,DDD · 2014B
DDD,2014B,1127,22,565,50.1,DDD · 2014B
DDD,2014B,1127,23,475,42.1,DDD · 2014B
DDD,2014B,1127,24,425,37.7,DDD · 2014B
DDD,2014B,1127,25,401,35.6,DDD · 2014B
DDD,2014B,1127,26,403,35.8,DDD · 2014B
DDD,2014B,1127,27,425,37.7,DDD · 2014B
DDD,2014B,1127,28,503,44.6,DDD · 2014B
DDD,2014B,1127,29,398,35.3,DDD · 2014B
DDD,2014B,1127,30,419,37.2,DDD · 2014B
DDD,2014J,1655,0,1413,85.4,DDD · 2014J
DDD,2014J,1655,1,1324,80.0,DDD · 2014J
DDD,2014J,1655,2,1383,83.6,DDD · 2014J
DDD,2014J,1655,3,1277,77.2,DDD · 2014J
DDD,2014J,1655,4,1206,72.9,DDD · 2014J
DDD,2014J,1655,5,1306,78.9,DDD · 2014J
DDD,2014J,1655,6,1173,70.9,DDD · 2014J
DDD,2014J,1655,7,1084,65.5,DDD · 2014J
DDD,2014J,1655,8,1210,73.1,DDD · 2014J
DDD,2014J,1655,9,922,55.7,DDD · 2014J
DDD,2014J,1655,10,657,39.7,DDD · 2014J
DDD,2014J,1655,11,701,42.4,DDD · 2014J
DDD,2014J,1655,12,971,58.7,DDD · 2014J
DDD,2014J,1655,13,914,55.2,DDD · 2014J
DDD,2014J,1655,14,925,55.9,DDD · 2014J
DDD,2014J,1655,15,1124,67.9,DDD · 2014J
DDD,2014J,1655,16,974,58.9,DDD · 2014J
DDD,2014J,1655,17,900,54.4,DDD · 2014J
DDD,2014J,1655,18,885,53.5,DDD · 2014J
DDD,2014J,1655,19,912,55.1,DDD · 2014J
DDD,2014J,1655,20,1042,63.0,DDD · 2014J
DDD,2014J,1655,21,905,54.7,DDD · 2014J
DDD,2014J,1655,22,848,51.2,DDD · 2014J
DDD,2014J,1655,23,815,49.2,DDD · 2014J
DDD,2014J,1655,24,738,44.6,DDD · 2014J
DDD,2014J,1655,25,686,41.5,DDD · 2014J
DDD,2014J,1655,26,789,47.7,DDD · 2014J
DDD,2014J,1655,27,953,57.6,DDD · 2014J
DDD,2014J,1655,28,751,45.4,DDD · 2014J
DDD,2014J,1655,29,736,44.5,DDD · 2014J
DDD,2014J,1655,30,695,42.0,DDD · 2014J
EEE,2013J,986,0,805,81.6,EEE · 2013J
EEE,2013J,986,1,798,80.9,EEE · 2013J
EEE,2013J,986,2,832,84.4,EEE · 2013J
EEE,2013J,986,3,765,77.6,EEE · 2013J
EEE,2013J,986,4,846,85.8,EEE · 2013J
EEE,2013J,986,5,761,77.2,EEE · 2013J
EEE,2013J,986,6,750,76.1,EEE · 2013J
EEE,2013J,986,7,733,74.3,EEE · 2013J
EEE,2013J,986,8,732,74.2,EEE · 2013J
EEE,2013J,986,9,775,78.6,EEE · 2013J
EEE,2013J,986,10,597,60.5,EEE · 2013J
EEE,2013J,986,11,382,38.7,EEE · 2013J
EEE,2013J,986,12,475,48.2,EEE · 2013J
EEE,2013J,986,13,611,62.0,EEE · 2013J
EEE,2013J,986,14,580,58.8,EEE · 2013J
EEE,2013J,986,15,615,62.4,EEE · 2013J
EEE,2013J,986,16,632,64.1,EEE · 2013J
EEE,2013J,986,17,707,71.7,EEE · 2013J
EEE,2013J,986,18,570,57.8,EEE · 2013J
EEE,2013J,986,19,598,60.6,EEE · 2013J
EEE,2013J,986,20,599,60.8,EEE · 2013J
EEE,2013J,986,21,618,62.7,EEE · 2013J
EEE,2013J,986,22,650,65.9,EEE · 2013J
EEE,2013J,986,23,528,53.5,EEE · 2013J
EEE,2013J,986,24,515,52.2,EEE · 2013J
EEE,2013J,986,25,465,47.2,EEE · 2013J
EEE,2013J,986,26,457,46.3,EEE · 2013J
EEE,2013J,986,27,476,48.3,EEE · 2013J
EEE,2013J,986,28,384,38.9,EEE · 2013J
EEE,2013J,986,29,389,39.5,EEE · 2013J
EEE,2013J,986,30,392,39.8,EEE · 2013J
EEE,2014B,644,0,522,81.1,EEE · 2014B
EEE,2014B,644,1,508,78.9,EEE · 2014B
EEE,2014B,644,2,539,83.7,EEE · 2014B
EEE,2014B,644,3,499,77.5,EEE · 2014B
EEE,2014B,644,4,545,84.6,EEE · 2014B
EEE,2014B,644,5,480,74.5,EEE · 2014B
EEE,2014B,644,6,444,68.9,EEE · 2014B
EEE,2014B,644,7,444,68.9,EEE · 2014B
EEE,2014B,644,8,454,70.5,EEE · 2014B
EEE,2014B,644,9,471,73.1,EEE · 2014B
EEE,2014B,644,10,358,55.6,EEE · 2014B
EEE,2014B,644,11,336,52.2,EEE · 2014B
EEE,2014B,644,12,331,51.4,EEE · 2014B
EEE,2014B,644,13,331,51.4,EEE · 2014B
EEE,2014B,644,14,340,52.8,EEE · 2014B
EEE,2014B,644,15,388,60.2,EEE · 2014B
EEE,2014B,644,16,410,63.7,EEE · 2014B
EEE,2014B,644,17,362,56.2,EEE · 2014B
EEE,2014B,644,18,347,53.9,EEE · 2014B
EEE,2014B,644,19,360,55.9,EEE · 2014B
EEE,2014B,644,20,352,54.7,EEE · 2014B
EEE,2014B,644,21,386,59.9,EEE · 2014B
EEE,2014B,644,22,312,48.4,EEE · 2014B
EEE,2014B,644,23,287,44.6,EEE · 2014B
EEE,2014B,644,24,270,41.9,EEE · 2014B
EEE,2014B,644,25,251,39.0,EEE · 2014B
EEE,2014B,644,26,251,39.0,EEE · 2014B
EEE,2014B,644,27,281,43.6,EEE · 2014B
EEE,2014B,644,28,238,37.0,EEE · 2014B
EEE,2014B,644,29,252,39.1,EEE · 2014B
EEE,2014B,644,30,294,45.7,EEE · 2014B
EEE,2014J,1121,0,912,81.4,EEE · 2014J
EEE,2014J,1121,1,898,80.1,EEE · 2014J
EEE,2014J,1121,2,932,83.1,EEE · 2014J
EEE,2014J,1121,3,853,76.1,EEE · 2014J
EEE,2014J,1121,4,936,83.5,EEE · 2014J
EEE,2014J,1121,5,826,73.7,EEE · 2014J
EEE,2014J,1121,6,817,72.9,EEE · 2014J
EEE,2014J,1121,7,794,70.8,EEE · 2014J
EEE,2014J,1121,8,793,70.7,EEE · 2014J
EEE,2014J,1121,9,852,76.0,EEE · 2014J
EEE,2014J,1121,10,639,57.0,EEE · 2014J
EEE,2014J,1121,11,456,40.7,EEE · 2014J
EEE,2014J,1121,12,455,40.6,EEE · 2014J
EEE,2014J,1121,13,622,55.5,EEE · 2014J
EEE,2014J,1121,14,636,56.7,EEE · 2014J
EEE,2014J,1121,15,636,56.7,EEE · 2014J
EEE,2014J,1121,16,680,60.7,EEE · 2014J
EEE,2014J,1121,17,706,63.0,EEE · 2014J
EEE,2014J,1121,18,775,69.1,EEE · 2014J
EEE,2014J,1121,19,647,57.7,EEE · 2014J
EEE,2014J,1121,20,675,60.2,EEE · 2014J
EEE,2014J,1121,21,659,58.8,EEE · 2014J
EEE,2014J,1121,22,691,61.6,EEE · 2014J
EEE,2014J,1121,23,740,66.0,EEE · 2014J
EEE,2014J,1121,24,582,51.9,EEE · 2014J
EEE,2014J,1121,25,554,49.4,EEE · 2014J
EEE,2014J,1121,26,470,41.9,EEE · 2014J
EEE,2014J,1121,27,503,44.9,EEE · 2014J
EEE,2014J,1121,28,504,45.0,EEE · 2014J
EEE,2014J,1121,29,550,49.1,EEE · 2014J
EEE,2014J,1121,30,510,45.5,EEE · 2014J
FFF,2013B,1529,0,1333,87.2,FFF · 2013B
FFF,2013B,1529,1,1321,86.4,FFF · 2013B
FFF,2013B,1529,2,1397,91.4,FFF · 2013B
FFF,2013B,1529,3,1296,84.8,FFF · 2013B
FFF,2013B,1529,4,1237,80.9,FFF · 2013B
FFF,2013B,1529,5,1224,80.1,FFF · 2013B
FFF,2013B,1529,6,1308,85.5,FFF · 2013B
FFF,2013B,1529,7,1128,73.8,FFF · 2013B
FFF,2013B,1529,8,1045,68.3,FFF · 2013B
FFF,2013B,1529,9,1039,68.0,FFF · 2013B
FFF,2013B,1529,10,1065,69.7,FFF · 2013B
FFF,2013B,1529,11,1073,70.2,FFF · 2013B
FFF,2013B,1529,12,1138,74.4,FFF · 2013B
FFF,2013B,1529,13,982,64.2,FFF · 2013B
FFF,2013B,1529,14,955,62.5,FFF · 2013B
FFF,2013B,1529,15,894,58.5,FFF · 2013B
FFF,2013B,1529,16,867,56.7,FFF · 2013B
FFF,2013B,1529,17,941,61.5,FFF · 2013B
FFF,2013B,1529,18,1035,67.7,FFF · 2013B
FFF,2013B,1529,19,893,58.4,FFF · 2013B
FFF,2013B,1529,20,889,58.1,FFF · 2013B
FFF,2013B,1529,21,872,57.0,FFF · 2013B
FFF,2013B,1529,22,841,55.0,FFF · 2013B
FFF,2013B,1529,23,931,60.9,FFF · 2013B
FFF,2013B,1529,24,790,51.7,FFF · 2013B
FFF,2013B,1529,25,771,50.4,FFF · 2013B
FFF,2013B,1529,26,699,45.7,FFF · 2013B
FFF,2013B,1529,27,695,45.5,FFF · 2013B
FFF,2013B,1529,28,712,46.6,FFF · 2013B
FFF,2013B,1529,29,736,48.1,FFF · 2013B
FFF,2013B,1529,30,840,54.9,FFF · 2013B
FFF,2013J,2112,0,1842,87.2,FFF · 2013J
